,RegCommitSB,RegSpecSB,RegMap,RegRT,RegSpecRT,SRAMMap,SRAMSB,SRAMRT,RegARF,RegSpecARF,RegCenterInstBuf,RegCenterPairBuf,RegCenterWKBuf,RegInterGroupWKBuf,QueueTxBuf,QueuePairBuf,SRAMInst,SRAMPointer,SRAMValue,RegValid,RegNbusy,RegRxBuf,QueueReadyInstBuf,DynamicPower,sim_seconds,StaticPower,total,ED,ED^2
wrf_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29275.731144025,231935.82257133,0.0,0.0,0.0,0.0,0.0,0.0,149323.277030901,155923.016627764,1141801.434418856,0.0,131226.949808536,0.0,0.0,1.839486231601412,0.08094,0.6201905118719999,2.4596767434734117,0.19908623561673794,0.016114039910818768
cam4_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51626.011397855,236820.51938109,0.0,0.0,0.0,0.0,0.0,0.0,148179.831790973,142096.074536656,1136897.7325625708,0.0,126389.952467102,0.0,0.0,1.8420101221362468,0.07381,0.5655579649279999,2.407568087064247,0.17770260050621206,0.013116228943363513
cam4_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68105.83867512,245868.50072497997,0.0,0.0,0.0,0.0,0.0,0.0,158075.517282027,140006.08065001998,1206394.9406911968,0.0,124537.627911221,0.0,0.0,1.9429885059345646,0.072665,0.5567845755519999,2.4997730814865644,0.18164601096622118,0.01319930738686046
leela_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128780.92202597499,283163.46230337,0.0,0.0,0.0,0.0,0.0,0.0,191372.649124535,156858.212447228,1428257.111208947,0.0,145481.75556565198,0.0,0.0,2.3339141126757075,0.08127,0.6227190869759999,2.9566331996517072,0.24028558013569423,0.01952800909762787
leela_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129287.65680667,284527.92739424,0.0,0.0,0.0,0.0,0.0,0.0,189268.83017023298,147875.11741720798,1413949.469095306,0.0,138278.39771937602,0.0,0.0,2.303187398603033,0.076623,0.5871121521024,2.890299550705433,0.22146342247370238,0.016969191820202498
leela_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130639.233251155,285412.69855693,0.0,0.0,0.0,0.0,0.0,0.0,190112.58752347098,149471.157950528,1419878.180979868,0.0,139771.725609991,0.0,0.0,2.315285583871943,0.077447,0.5934259275136,2.908711511385543,0.22527098042227617,0.017446561620764023
namd_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93411.20262932,194322.50658351998,0.0,0.0,0.0,0.0,0.0,0.0,140027.05445453,90515.193804004,1107346.570070593,0.0,90344.01459163301,0.0,0.0,1.7159665421336,0.047051,0.36052117338879996,2.0764877155223997,0.09770082350304443,0.004596921446641744
imagick_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26920.68854683,76940.07641303999,0.0,0.0,0.0,0.0,0.0,0.0,139439.754699499,85805.729023072,1118277.000311655,0.0,85352.086164823,0.0,0.0,1.532735335158919,0.044582,0.3416028342015999,1.874338169360519,0.08356174426643065,0.003725349682886011
imagick_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26843.96927653,79426.2968589,0.0,0.0,0.0,0.0,0.0,0.0,139955.214509699,88462.82029644,1121549.7564219618,0.0,86919.92119370401,0.0,0.0,1.543157978557235,0.045953,0.3521079144064,1.8952658929636348,0.08709315357935792,0.004002191686432234
imagick_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26029.82211108,78325.66412399,0.0,0.0,0.0,0.0,0.0,0.0,139746.857519149,88032.619515924,1120726.687411461,0.0,86379.428063874,0.0,0.0,1.539241078745478,0.045729,0.35039154827519997,1.889632627020678,0.08641101040102858,0.0039514890946286355
nab_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44083.61541072,205170.43124154,0.0,0.0,0.0,0.0,0.0,0.0,150523.53687779,154245.93542305598,1172914.611961957,0.0,138908.200198225,0.0,0.0,1.865846331113288,0.080157,0.6141908927616,2.480037223874888,0.1987923437541394,0.015934597898300554
bwaves_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80951.72516432,315271.34193731996,0.0,0.0,0.0,0.0,0.0,0.0,159649.224912199,349075.979100968,1203402.012554043,0.0,250646.087250253,0.0,0.0,2.358996370919103,0.181507,1.3907699436416,3.749766314560703,0.6806088344569695,0.12353526771578116
bwaves_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44134.145983015,202882.34057785,0.0,0.0,0.0,0.0,0.0,0.0,164839.61467016398,109293.66070084,1272011.534400835,0.0,106396.78933117,0.0,0.0,1.8995580856638739,0.056678,0.43428660528639995,2.333844690950274,0.1322776493936796,0.007497232612334973
mcf_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219657.451031835,375417.50758504,0.0,0.0,0.0,0.0,0.0,0.0,250017.572996898,367341.31414364,1817880.406394119,0.0,310226.757634252,0.0,0.0,3.3405410097857837,0.190695,1.461171604416,4.801712614201784,0.9156625869652092,0.17461227702133056
bwaves_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42955.9846699,196177.90420493,0.0,0.0,0.0,0.0,0.0,0.0,166658.79641410598,107405.475699988,1287639.6387923378,0.0,105640.50715627,0.0,0.0,1.906478306937532,0.055684,0.42667023057919995,2.333148537516732,0.1299190431630817,0.007234411999493041
nab_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52056.921813105,135259.45112749998,0.0,0.0,0.0,0.0,0.0,0.0,156590.63788562,146309.90479164402,1223669.55793877,0.0,130570.36646653,0.0,0.0,1.844456840023169,0.076027,0.5825453922175999,2.4270022322407687,0.18451769871056892,0.014028327079868423
xz_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127775.029009755,206255.19849493,0.0,0.0,0.0,0.0,0.0,0.0,200673.683329992,230843.358472664,1510344.494198382,0.0,201096.519383755,0.0,0.0,2.476988282889478,0.119809,0.9180183473792,3.395006630268678,0.4067523493658601,0.04873259222517433
xz_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130222.064908945,206776.32097727,0.0,0.0,0.0,0.0,0.0,0.0,201821.255416375,229202.34375324397,1519696.567963281,0.0,199464.823082375,0.0,0.0,2.4871833761014894,0.118938,0.9113444415744,3.3985278176758893,0.40421410157873494,0.048076416813571575
namd_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51257.219978140005,157635.50619411,0.0,0.0,0.0,0.0,0.0,0.0,142150.10849645,93047.92959613599,1146508.895402877,0.0,92250.415434767,0.0,0.0,1.68285007510248,0.048346,0.37044391508479996,2.0532939901872798,0.09926855124959423,0.004799237378712883
namd_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44052.98779677,192211.42011189,0.0,0.0,0.0,0.0,0.0,0.0,141805.85362117802,93804.0352008,1146663.148312525,0.0,91457.58829148501,0.0,0.0,1.709995033334648,0.048749,0.37353184165119996,2.083526874985848,0.10156985162868512,0.004951428697046771
mcf_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120177.145691945,162893.26861323998,0.0,0.0,0.0,0.0,0.0,0.0,222373.30705779,311742.976764004,1704392.136512003,0.0,273317.566391009,0.0,0.0,2.794896401029991,0.1619,1.2405342707199998,4.035430671749991,0.6533362257563234,0.10577513494994875
lbm_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82366.13443037501,227559.72267985,0.0,0.0,0.0,0.0,0.0,0.0,154952.22730781598,317940.393267128,1202227.495590672,0.0,276691.778550619,0.0,0.0,2.2617377518264594,0.165318,1.2667241789183998,3.528461930744859,0.5833182694668786,0.09643300967172543
lbm_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82291.926122695,228069.92538462,0.0,0.0,0.0,0.0,0.0,0.0,156689.600880022,329745.963919208,1213532.212180835,0.0,286998.599637362,0.0,0.0,2.297328228124742,0.171457,1.3137633382015999,3.611091566326342,0.6191469266876156,0.10615707460907851
lbm_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82139.09848106,228532.01832514998,0.0,0.0,0.0,0.0,0.0,0.0,157263.778155245,333558.1398696,1217024.1029046269,0.0,290900.387020205,0.0,0.0,2.3094175247558866,0.173439,1.3289501135232,3.6383676382790866,0.6310348448154866,0.10944605244995317
xz_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88055.74207672,213733.87439126,0.0,0.0,0.0,0.0,0.0,0.0,227900.822571292,181041.20223469197,1729295.596266509,0.0,166238.119600353,0.0,0.0,2.606265357140826,0.093869,0.7192570195071999,3.325522376648026,0.31216345997357353,0.029302471824259373
