,RegCommitSB,RegSpecSB,RegMap,RegRT,RegSpecRT,SRAMMap,SRAMSB,SRAMRT,RegARF,RegSpecARF,RegCenterInstBuf,RegCenterPairBuf,RegCenterWKBuf,RegInterGroupWKBuf,QueueTxBuf,QueuePairBuf,SRAMInst,SRAMPointer,SRAMValue,RegValid,RegNbusy,RegRxBuf,QueueReadyInstBuf,DynamicPower,sim_seconds,StaticPower,total,ED,ED^2
xalancbmk_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46919.28747933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171784.15745213898,455907.60772464797,1321285.0458877608,0.0,0.0,0.0,0.0,1.9958960985438776,0.237008,1.5420500801663999,3.5379461787102775,0.8385215479237654,0.1987363150303158
wrf_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114871.47963803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143100.375935423,254720.433916232,1149532.030503172,0.0,0.0,0.0,0.0,1.662224319992857,0.132437,0.8616776077895999,2.523901927782457,0.33425799960972524,0.04426812669431318
exchange2_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85948.63710990999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169061.41587308698,155955.645946916,1310415.9320537038,0.0,0.0,0.0,0.0,1.7213816309836167,0.080945,0.526654137156,2.2480357681396166,0.18196725525206128,0.014729339476378101
exchange2_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78735.80196923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166031.732198479,152617.006395092,1290232.641078548,0.0,0.0,0.0,0.0,1.687617181641349,0.079237,0.5155413412295999,2.203158522870949,0.1745716718767254,0.01383253556449609
exchange2_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80319.66351364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169263.611928392,156186.430142624,1313944.297166873,0.0,0.0,0.0,0.0,1.719714002751529,0.081079,0.5275259841432,2.247239986894729,0.18220397089743773,0.014772915756393354
deepsjeng_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133315.67080803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203993.73255865602,209089.323704912,1548200.0313042148,0.0,0.0,0.0,0.0,2.0945987583758128,0.108206,0.7040229484847998,2.7986217068606125,0.30282766041255943,0.032767769822601406
cam4_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90246.00959244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156137.607295554,203455.843388444,1232096.1522771697,0.0,0.0,0.0,0.0,1.6819356125536076,0.10568,0.6875879821439999,2.3695235946976076,0.25041125348764315,0.026463461268574125
deepsjeng_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127045.03859323001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199847.32455467602,206119.404312012,1518507.7038839909,0.0,0.0,0.0,0.0,2.051519471343909,0.106676,0.6940682776607999,2.745587749004709,0.29288831871282633,0.031244154287009464
deepsjeng_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129107.61921002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202392.90632661502,209223.280235884,1536058.8264659168,0.0,0.0,0.0,0.0,2.076782632238436,0.108288,0.7045564667903998,2.781339099028836,0.30118564835563455,0.03261479148913495
nab_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77824.86893781999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138380.444397218,182523.854049588,1103115.408745626,0.0,0.0,0.0,0.0,1.501844576130252,0.094905,0.617482375524,2.119326951654252,0.20113472434674678,0.019088691014128006
roms_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108600.99532461999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148811.588689883,241044.532095292,1187348.965841105,0.0,0.0,0.0,0.0,1.6858060819509,0.125328,0.8154241732223999,2.5012302551733,0.3134741854203593,0.03928709271036279
mcf_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320571.55315633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256040.901288074,350909.1844545,1890627.3820101558,0.0,0.0,0.0,0.0,2.81814902090906,0.181762,1.1826018812496,4.00075090215866,0.7271844854781624,0.13217450644948175
wrf_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80337.54956039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157092.40176269,198729.45316603198,1225877.266855454,0.0,0.0,0.0,0.0,1.6620366713445662,0.103227,0.6716279772216,2.3336646485661663,0.24089720067753964,0.024867095334340384
wrf_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43828.18204619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155859.355303494,208552.075090008,1217142.335280649,0.0,0.0,0.0,0.0,1.6253819477203408,0.108253,0.7043287455623999,2.329710693282741,0.2521981716799366,0.027301208678868174
cam4_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78838.33518123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153350.91124483699,196114.251747212,1206754.887669192,0.0,0.0,0.0,0.0,1.635058385842471,0.101885,0.6628964947079999,2.297954880550471,0.23412713300488475,0.023854042946202685
cam4_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93648.79850561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166659.23823174599,196162.899284804,1302082.0950928119,0.0,0.0,0.0,0.0,1.7585530311149717,0.10181,0.6624085206479999,2.4209615517629715,0.24647809558498812,0.02509393491150764
leela_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152424.76553796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238542.644952294,234114.62495589998,1808936.473905556,0.0,0.0,0.0,0.0,2.4340185093517097,0.121302,0.7892297256815999,3.2232482350333096,0.3909864574060105,0.04742743925626389
leela_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152652.45230996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237445.518525205,228062.20066887597,1803478.8878186687,0.0,0.0,0.0,0.0,2.4216390593227097,0.118175,0.7688844605399999,3.1905235198627095,0.3770401169597757,0.04455671582172149
leela_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154884.78118723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238464.071897091,229584.088988652,1810426.9154416097,0.0,0.0,0.0,0.0,2.4333598575145827,0.118961,0.7739984286887999,3.2073582862033825,0.3815505490850406,0.045389634869705514
namd_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136511.37141949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141224.060067015,160726.29188025199,1139695.153147011,0.0,0.0,0.0,0.0,1.578156876513768,0.083557,0.5436486470856,2.121805523599368,0.17729170413539241,0.014813962922440985
imagick_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37437.592400120004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139399.93080449698,151459.96737599198,1120292.2596095297,0.0,0.0,0.0,0.0,1.4485897501901388,0.078732,0.5122556492256,1.9608453994157387,0.15438127998679993,0.01215474693592073
imagick_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38308.8958185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139883.428679218,156306.87111219997,1123512.5030588498,0.0,0.0,0.0,0.0,1.4580116986687677,0.081245,0.5286060333959999,1.9866177320647675,0.16140275764160203,0.013113167044591957
imagick_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38328.94746764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139673.09452737,156447.79339151198,1122060.097635985,0.0,0.0,0.0,0.0,1.456509933022507,0.081318,0.5290809948144,1.985590927836907,0.16146428306984162,0.01312995257067338
nab_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61896.502140649995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149777.977171094,197580.922867664,1192409.036904837,0.0,0.0,0.0,0.0,1.601664439084245,0.102676,0.6680429944608,2.2697074335450447,0.233044480446671,0.023928075074342393
bwaves_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118017.94177493999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157308.81819390698,377979.87668839993,1251264.982918439,0.0,0.0,0.0,0.0,1.9045716195756859,0.196536,1.2787262647487998,3.1832978843244857,0.6256326329935971,0.12295933515802958
bwaves_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63240.15181105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181123.630067756,190364.05385251998,1426150.2467472388,0.0,0.0,0.0,0.0,1.8608780824785647,0.098859,0.6432083679671999,2.5040864504457647,0.24755148240461786,0.024472691999038117
mcf_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306065.22592141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270994.64052209,404344.213682824,2001021.6239326159,0.0,0.0,0.0,0.0,2.9824257040589397,0.209579,1.3635882069431997,4.34601391100214,0.9108332494539174,0.19089152158730255
bwaves_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63098.792966249996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185284.98328959098,191218.138259312,1457632.4081566338,0.0,0.0,0.0,0.0,1.897234322671787,0.099299,0.6460711491191999,2.543305471790987,0.2525476900433732,0.025077733073616913
nab_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73312.00697469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155323.38550455897,187329.47722150397,1223873.972657355,0.0,0.0,0.0,0.0,1.6398388423581078,0.097351,0.6333968362007999,2.273235678558908,0.22130176654338823,0.021543948274765388
xz_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176736.95411913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226370.149172831,287823.23249407596,1719418.5484515298,0.0,0.0,0.0,0.0,2.410348884237567,0.14936,0.9717840746879999,3.382132958925567,0.5051553787451226,0.0754500073693715
xz_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181253.50862084999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229043.941531824,286783.685630624,1738794.8346679017,0.0,0.0,0.0,0.0,2.4358759704511996,0.148791,0.9680819781528,3.4039579486039995,0.5064783071307377,0.0753594137962896
namd_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77570.99704827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144495.767360633,170954.99071603597,1180346.8969973908,0.0,0.0,0.0,0.0,1.57336865212233,0.08886,0.5781516662879999,2.1515203184103298,0.19118409549394189,0.016988618725591674
namd_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68549.859296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145720.08836066897,177319.022463768,1203768.304312063,0.0,0.0,0.0,0.0,1.5953572744325,0.092171,0.5996940944568,2.1950513688893,0.20232007972189567,0.018648044068046845
mcf_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180849.98801358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230723.266502408,349848.407313796,1769902.7323554528,0.0,0.0,0.0,0.0,2.5313243941852366,0.18172,1.1823286157759998,3.713653009961236,0.6748450249701559,0.12263283793757672
lbm_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129874.10653235001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157576.391978671,341158.617195136,1254267.637649983,0.0,0.0,0.0,0.0,1.88287675335614,0.177389,1.1541497403911998,3.03702649374734,0.5387350926993468,0.09556567935884443
lbm_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129996.98352063999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159353.994399234,351915.26978116,1266185.806692588,0.0,0.0,0.0,0.0,1.9074520543936218,0.182982,1.1905395926256,3.0979916470192217,0.5668767075548713,0.10372823370180546
lbm_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129504.04517932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159815.376163508,354564.877036224,1269322.441980701,0.0,0.0,0.0,0.0,1.9132067403597528,0.184359,1.1994987963672,3.1127055367269527,0.5738552800454443,0.10579538557389806
xz_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126050.88982320999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288715.488121701,292749.70836866397,2204950.224022009,0.0,0.0,0.0,0.0,2.912466310335584,0.152019,0.9890843816951999,3.901550692030784,0.5931098346518278,0.0901639639539362
